"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_089"	"V1-58_J4*02,J5*02"	8	0.000248632521133764
"Biotech_089"	"V3-20_J6*03"	8	0.000248632521133764
"Biotech_089"	"V4-31_J4*02,J5*02"	8	0.000248632521133764
"Biotech_089"	"V4-38-2_J4*02"	8	0.000248632521133764
"Biotech_089"	"V4-59_J4*02,J5*02"	8	0.000248632521133764
"Biotech_089"	"V6-1_J6*03"	8	0.000248632521133764
"Biotech_090"	"V1-58_J4*02,J5*02"	8	0.000232335259779862
"Biotech_090"	"V3-43_J4*02,J5*02"	8	0.000232335259779862
"Biotech_090"	"V3-43_J5*02"	8	0.000232335259779862
"Biotech_090"	"V6-1_J2*01"	8	0.000232335259779862
"Biotech_091"	"V3-15_J4*02,J5*02"	8	0.00059263649159197
"Biotech_091"	"V3-20_J5*02"	8	0.00059263649159197
"Biotech_091"	"V3-49_J4*02,J5*02"	8	0.00059263649159197
"Biotech_091"	"V3-64_J5*02"	8	0.00059263649159197
"Biotech_091"	"V4-59_J1*01"	8	0.00059263649159197
"Biotech_091"	"V4-61_J3*02"	8	0.00059263649159197
"Biotech_091"	"V7-4-1_J6*02"	8	0.00059263649159197
"Biotech_092"	"V1-69-2_J3*02"	8	0.000174447763797728
"Biotech_092"	"V2-5_J4*02,J5*02"	8	0.000174447763797728
"Biotech_092"	"V3-30_J2*01"	8	0.000174447763797728
"Biotech_092"	"V3-49_J4*02,J5*02"	8	0.000174447763797728
"Biotech_093"	"V2-5_J3*02"	8	0.001723395088324
"Biotech_093"	"V2-70_J4*02"	8	0.001723395088324
"Biotech_093"	"V3-48_J4*02,J5*02"	8	0.001723395088324
"Biotech_093"	"V3-49_J5*02"	8	0.001723395088324
"Biotech_093"	"V3-53_J4*02"	8	0.001723395088324
"Biotech_093"	"V4-34_J2*01"	8	0.001723395088324
"Biotech_093"	"V4-34_J4*02,J5*02"	8	0.001723395088324
"Biotech_093"	"V4-61_J5*02"	8	0.001723395088324
"Biotech_094"	"V2-5_J2*01"	8	0.000258824290659678
"Biotech_094"	"V3-15_J1*01"	8	0.000258824290659678
"Biotech_094"	"V3-7_J1*01"	8	0.000258824290659678
