"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_087-Celiac#FALSE"	13	2210	0.0628340725577164
"CD1127-Celiac#M"	14	2209	0.056899260747495
"HC_10_BB-Healthy#NA"	17	2203	0.0404220183486239
"Biotech_090-Celiac#FALSE"	14	2202	0.0639502802544071
"HC_31_BB-Healthy#NA"	6	2201	0.070082149907661
"Biotech_067-Celiac#FALSE"	14	2200	0.0607348921955664
"Biotech_090-Celiac#FALSE"	11	2199	0.0638631545319897
"BC_12-Healthy#NA"	15	2198	0.0546453521616985
"Biotech_050-Healthy#M"	15	2197	0.0563492267049681
"Biotech_086-Healthy#FALSE"	7	2196	0.0513108089163045
"BC_17-Healthy#NA"	10	2195	0.0521501544309812
"CD1212-Celiac#M"	16	2195	0.0566305469556244
"CD1110-Celiac#FALSE"	9	2188	0.0394227131042684
"CD1368-Celiac#NA"	7	2188	0.0514581373471308
"CD1208-Celiac#FALSE"	9	2187	0.046531914893617
"CD1208-Celiac#FALSE"	8	2185	0.0464893617021277
"HC_23_BB-Healthy#NA"	8	2184	0.0414814814814815
"Biotech_107-Healthy#FALSE"	10	2180	0.0532135621353773
"CD1208-Celiac#FALSE"	5	2180	0.0463829787234043
"Biotech_050-Healthy#M"	14	2178	0.0558619097694221
"CD1129-Celiac#M"	16	2177	0.0542486917518066
"Biotech_092-Celiac#FALSE"	10	2176	0.047449791752982
"CD1110-Celiac#FALSE"	21	2175	0.0391884830903948
"HC_11_BB-Healthy#NA"	11	2175	0.0536282269398624
"HC_11_BB-Healthy#NA"	14	2173	0.0535789136277338
"Biotech_065-Celiac#M"	8	2170	0.0482619042323688
"BC_10-Healthy#NA"	15	2169	0.0552893193984196
"Biotech_087-Celiac#FALSE"	11	2165	0.0615546457409303
"HC_16_BB-Healthy#NA"	14	2164	0.0589629710362116
"HC_11_BB-Healthy#NA"	15	2159	0.0532337204428335
"HC_23_BB-Healthy#NA"	9	2156	0.0409496676163343
"Biotech_067-Celiac#FALSE"	11	2155	0.0594925875824752
"Biotech_111-Celiac#FALSE"	12	2155	0.0632744142345411
"BC_12-Healthy#NA"	11	2153	0.0535265892648485
"BC_17-Healthy#NA"	5	2151	0.0511047754811119
"CD1211-Celiac#M"	10	2151	0.0542784324610765
"HC_10_BB-Healthy#NA"	18	2150	0.0394495412844037
"HC_14_BB-Healthy#NA"	15	2144	0.0573200727194952
"HC_16_BB-Healthy#NA"	13	2143	0.0583907795427918
"BC_14-Healthy#NA"	18	2140	0.038060006758319
"CD1120-Celiac#FALSE"	11	2137	0.0648676542010685
"BC_11-Healthy#NA"	17	2135	0.0411027472421693
"Biotech_107-Healthy#FALSE"	9	2132	0.0520418873727634
"Biotech_045-Healthy#M"	12	2128	0.0626988803771361
"CD0497-Celiac#FALSE"	8	2128	0.051038518731712
"HC_20_BB-Healthy#NA"	16	2128	0.0451766304347826
"Biotech_065-Celiac#M"	10	2127	0.0473055623512666
"CD1071-Celiac#FALSE"	16	2126	0.0512573233358247
"HC_24_BB-Healthy#NA"	10	2126	0.048470201997173
"CD1127-Celiac#M"	15	2124	0.0547098369523221
"CD1202-Celiac#FALSE"	8	2121	0.0444961923343193
"HC_14_BB-Healthy#NA"	16	2120	0.0566784301144263
"HC_24_BB-Healthy#NA"	8	2119	0.0483106105512745
"HC_35_BB-Healthy#NA"	16	2119	0.053651002633178
"Biotech_111-Celiac#FALSE"	6	2115	0.0620999471489811
"HC_16_BB-Healthy#NA"	6	2115	0.0576278575515654
"CD1071-Celiac#FALSE"	10	2114	0.0509680063649734
"HC_24_BB-Healthy#NA"	5	2114	0.048196616661347
"HC_14_BB-Healthy#NA"	11	2113	0.0564912843546145
"BC_17-Healthy#NA"	9	2111	0.0501544309812307
"CD1071-Celiac#FALSE"	7	2111	0.0508956771222605
"CD1125-Celiac#FALSE"	7	2111	0.0535012798742935
"CD1368-Celiac#NA"	10	2111	0.0496472248353716
"HC_23_BB-Healthy#NA"	17	2111	0.0400949667616334
"CD1211-Celiac#M"	15	2110	0.0532438365843196
"CD0497-Celiac#FALSE"	10	2108	0.0505588334052861
"CD1120-Celiac#FALSE"	13	2107	0.0639570179698883
"CD1125-Celiac#FALSE"	5	2107	0.0533999036926274
"CD1202-Celiac#FALSE"	5	2102	0.0440975937231208
"Biotech_097-Celiac#FALSE"	16	2100	0.0503440174525927
"CD1368-Celiac#NA"	8	2097	0.0493179680150517
"CD1211-Celiac#M"	9	2096	0.0528905599434757
"Biotech_108-Healthy#M"	8	2095	0.0491299657614558
"CD1125-Celiac#FALSE"	15	2094	0.0530704311022125
"Biotech_067-Celiac#FALSE"	15	2093	0.0577809678933274
"CD0497-Celiac#FALSE"	16	2092	0.0501750851441454
"Biotech_050-Healthy#M"	7	2091	0.0536305111698171
"CD1115-Celiac#M"	6	2090	0.061401962512486
"HC_22_BB-Healthy#NA"	11	2088	0.0631120783460283
"BC_12-Healthy#NA"	8	2087	0.051885737016135
"Biotech_089-Healthy#FALSE"	13	2087	0.0648620089507708
"Biotech_108-Healthy#M"	10	2087	0.0489423573003142
"CD1205-Celiac#FALSE"	19	2087	0.034326787065364
