"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"Biotech_120"	"J4*02"	3815	0.50556586270872	NA
"Biotech_045"	"J3*02"	3809	0.112227460223925	NA
"CD1212"	"J5*02"	3804	0.0981424148606811	NA
"Biotech_075"	"J4*02"	3791	0.50770054908263	NA
"Biotech_094"	"J5*02"	3790	0.122618007700023	NA
"CD1081"	"J5*02"	3770	0.123736379151897	NA
"HC_36_BB"	"J3*02"	3763	0.14519427402863	NA
"HC_32_BB"	"J6*02"	3741	0.24345958609918	NA
"Biotech_107"	"J6*02"	3728	0.0910000732296727	NA
"Biotech_132"	"J4*02"	3697	0.494317422115256	NA
"Biotech_101"	"J4*02"	3650	0.539302600472813	NA
"Biotech_087"	"J6*02"	3607	0.102553167292164	NA
"HC_31_BB"	"J5*02"	3592	0.114373049735719	NA
"Biotech_089"	"J6*02"	3587	0.111480606663352	NA
"Biotech_129"	"J5*02"	3564	0.114938080495356	NA
"BC_12"	"J3*02"	3561	0.0885314372374015	NA
"CD1086"	"J6*03"	3553	0.0841046277665996	NA
"HC_22_BB"	"J5*02"	3549	0.107272397533551	NA
"HC_16_BB"	"J6*03"	3526	0.0960736764665813	NA
"Biotech_108"	"J6*02"	3496	0.0819848975188781	NA
"Biotech_072"	"J4*02"	3480	0.48835251192815	NA
"HC_15_BB"	"J3*02"	3428	0.139758643183301	NA
"CD1211"	"J6*02"	3410	0.0860480960912463	NA
"Biotech_065"	"J6*03"	3398	0.0755732491159398	NA
"Biotech_089"	"J5*02"	3374	0.104860765788165	NA
"Biotech_096"	"J5*02"	3373	0.113979657351401	NA
"Biotech_079"	"J4*02"	3370	0.504491017964072	NA
"Biotech_096"	"J3*02"	3357	0.11343898895009	NA
"HC_09_BB"	"J3*02"	3341	0.12353941724597	NA
"CD1363_HC"	"J5*02"	3325	0.118293724206632	NA
"Biotech_090"	"J5*02"	3318	0.0963610489936979	NA
"Biotech_115"	"J6*02"	3262	0.224423804609563	NA
"Biotech_094"	"J6*02"	3213	0.103950305736193	NA
"Biotech_086"	"J6*03"	3211	0.0750268704145054	NA
"Biotech_091"	"J6*02"	3186	0.236017482776502	NA
"Biotech_121"	"J6*02"	3159	0.153461258197717	NA
"CD1127"	"J3*02"	3107	0.0800298791953224	NA
"Biotech_107"	"J6*03"	3106	0.0758171210974687	NA
"HC_33_BB"	"J6*02"	3102	0.199101412066752	NA
"HC_36_BB"	"J6*02"	3100	0.119612609484122	NA
"Biotech_081"	"J5*02"	3068	0.0973999174576971	NA
"HC_15_BB"	"J5*02"	2990	0.121901500326158	NA
"Biotech_110"	"J5*02"	2988	0.118439828761693	NA
"Biotech_110"	"J3*02"	2949	0.116893927382274	NA
"HC_36_BB"	"J5*02"	2845	0.109773507736235	NA
"HC_09_BB"	"J5*02"	2761	0.102092885667801	NA
"Biotech_111"	"J6*03"	2692	0.0790416348581831	NA
"CD1149"	"J6*02"	2687	0.1628188814155	NA
"Biotech_094"	"J6*03"	2661	0.0860914296806755	NA
"Biotech_121"	"J3*02"	2646	0.128540199174156	NA
"CD1268"	"J5*02"	2637	0.120686498855835	NA
"CD1363_HC"	"J3*02"	2637	0.0938167069873346	NA
"CD1081"	"J6*03"	2517	0.0826112642772745	NA
"HC_12_BB"	"J5*02"	2451	0.12070324042155	NA
"Biotech_121"	"J5*02"	2444	0.118727228564489	NA
"Biotech_131"	"J3*02"	2427	0.174278328306764	NA
"Biotech_080"	"J6*02"	2408	0.189725811534825	NA
"Biotech_083"	"J3*02"	2398	0.112900188323917	NA
"Biotech_083"	"J5*02"	2395	0.112758945386064	NA
"HC_13_BB"	"J5*02"	2382	0.118020115939157	NA
"Biotech_087"	"J6*03"	2377	0.0675821676333447	NA
"CD1211"	"J6*03"	2291	0.0578111988695147	NA
"HC_13_BB"	"J3*02"	2274	0.112669077936878	NA
"HC_38_BB"	"J6*02"	2269	0.172337839890627	NA
"Biotech_093"	"J4*02"	2267	0.488367083153813	NA
"HC_12_BB"	"J3*02"	2229	0.109770511178962	NA
"Biotech_078"	"J3*02"	2218	0.123112788632327	NA
"CD1268"	"J3*02"	2214	0.101327231121281	NA
"CD1149"	"J3*02"	2172	0.13161243410289	NA
"HC_31_BB"	"J6*03"	2156	0.0686493026810164	NA
"CD1149"	"J5*02"	2140	0.129673392716476	NA
"Biotech_089"	"J6*03"	2107	0.0654835902536052	NA
"Biotech_127"	"J4*02"	2049	0.531655422937208	NA
"CD0838"	"J3*02"	2036	0.173217628041518	NA
"Biotech_078"	"J5*02"	2035	0.112955150976909	NA
